Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,76.099998,76.160004,75.760002,76.150002,72.666618,1878900
2018-06-19,75.930000,76.050003,75.550003,75.910004,72.437607,2156900
2018-06-20,76.199997,76.459999,76.080002,76.269997,72.781128,2215400
2018-06-21,76.440002,76.860001,76.269997,76.800003,73.286896,1913100
2018-06-22,76.989998,77.300003,76.919998,77.000000,73.477737,1858200
2018-06-25,76.980003,77.000000,75.730003,75.900002,72.428062,3498700
2018-06-26,76.050003,76.190002,75.529999,75.720001,72.256294,3001500
2018-06-27,76.010002,76.099998,75.580002,75.620003,72.160866,2423800
2018-06-28,75.550003,75.550003,74.779999,75.059998,71.626488,2513300
2018-06-29,74.349998,74.690002,74.000000,74.440002,71.819443,3045400
2018-07-03,74.629997,74.760002,73.910004,74.169998,71.558945,2265400
2018-07-04,74.250000,74.480003,73.930000,74.360001,71.742264,781200
2018-07-05,74.580002,75.010002,74.330002,74.900002,72.263260,1676900
2018-07-06,74.839996,75.139999,74.660004,75.099998,72.456207,1284600
2018-07-09,75.440002,75.449997,75.110001,75.190002,72.543045,1301800
2018-07-10,75.449997,75.470001,75.059998,75.180000,72.533401,1704100
2018-07-11,75.050003,75.139999,74.760002,74.970001,72.330788,2407000
2018-07-12,75.099998,75.650002,75.089996,75.470001,72.813187,2181700
2018-07-13,75.500000,75.540001,75.230003,75.470001,72.813187,1741800
2018-07-16,75.559998,76.070000,75.419998,75.989998,73.314873,1749600
2018-07-17,75.989998,76.440002,75.870003,76.150002,73.469246,1589700
2018-07-18,76.209999,76.349998,75.980003,75.989998,73.314873,1171000
2018-07-19,76.040001,76.330002,75.900002,76.169998,73.488541,1196500
2018-07-20,76.120003,76.180000,75.849998,75.980003,73.305229,1323500
2018-07-23,75.919998,76.180000,75.860001,76.110001,73.430649,980500
2018-07-24,76.150002,76.690002,76.150002,76.419998,73.729736,1421300
2018-07-25,76.309998,76.669998,76.099998,76.580002,73.884109,1855800
2018-07-26,76.480003,76.570000,76.330002,76.430000,73.739388,1089600
2018-07-27,76.309998,76.690002,76.309998,76.580002,73.884109,1455700
2018-07-30,76.760002,77.110001,76.709999,76.800003,74.096367,1338200
2018-07-31,76.800003,77.180000,76.750000,77.089996,74.376144,2297700
2018-08-01,77.150002,77.389999,76.849998,77.050003,74.337570,1234700
2018-08-02,76.849998,77.120003,76.199997,76.989998,74.279663,1172600
2018-08-03,76.900002,77.050003,76.709999,76.900002,74.192848,863300
2018-08-07,77.250000,77.279999,76.160004,76.370003,73.681503,2156900
2018-08-08,76.220001,76.820000,76.139999,76.610001,73.913063,1159400
2018-08-09,76.769997,77.050003,76.610001,77.019997,74.308609,1649600
2018-08-10,76.620003,76.669998,76.139999,76.330002,73.642906,1487700
2018-08-13,76.239998,76.639999,76.150002,76.180000,73.498192,1189300
2018-08-14,76.330002,76.919998,76.209999,76.860001,74.154251,1374600
2018-08-15,76.349998,76.550003,76.110001,76.330002,73.642906,2208500
2018-08-16,76.570000,76.930000,76.550003,76.620003,73.922707,2191000
2018-08-17,76.610001,77.599998,76.459999,77.419998,74.694534,2275100
2018-08-20,77.599998,77.980003,77.489998,77.690002,74.955032,1584500
2018-08-21,77.800003,78.190002,77.480003,77.500000,74.771721,1981700
2018-08-22,77.629997,78.000000,77.540001,77.930000,75.186584,1980000
2018-08-23,77.949997,78.269997,77.870003,77.919998,75.176933,1829600
2018-08-24,78.000000,78.129997,77.769997,77.839996,75.099747,1036400
2018-08-27,78.190002,78.599998,78.000000,78.300003,75.543564,1623800
