Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,104.150002,105.180000,103.070000,104.559998,104.559998,2944700
2019-05-27,105.000000,105.050003,104.199997,104.459999,104.459999,940100
2019-05-28,104.459999,104.720001,103.400002,103.680000,103.680000,2079200
2019-05-29,103.650002,103.779999,102.809998,103.220001,103.220001,2587400
2019-05-30,103.570000,103.650002,102.400002,102.650002,102.650002,1900200
2019-05-31,102.000000,102.489998,100.730003,102.489998,102.489998,2265800
2019-06-03,102.489998,104.120003,102.300003,103.180000,103.180000,2762100
2019-06-04,103.889999,105.000000,103.519997,105.000000,105.000000,2189200
2019-06-05,105.080002,105.150002,103.650002,103.860001,103.860001,2392500
2019-06-06,103.800003,103.940002,102.900002,103.389999,103.389999,1826500
2019-06-07,103.400002,103.989998,103.360001,103.480003,103.480003,1499800
2019-06-10,104.050003,104.419998,103.720001,103.809998,103.809998,1152400
2019-06-11,104.000000,104.300003,103.489998,103.559998,103.559998,1122000
2019-06-12,103.470001,103.550003,102.419998,102.589996,102.589996,1394700
2019-06-13,102.800003,103.220001,102.559998,102.930000,102.930000,1570800
2019-06-14,103.029999,103.900002,102.610001,103.510002,103.510002,888000
2019-06-17,103.589996,104.089996,103.379997,103.580002,103.580002,846000
2019-06-18,103.760002,104.650002,103.760002,104.349998,104.349998,1706400
2019-06-19,104.459999,104.900002,104.300003,104.300003,104.300003,1404700
2019-06-20,104.860001,105.139999,104.230003,105.019997,105.019997,2608500
2019-06-21,104.970001,105.660004,104.870003,105.099998,105.099998,2770500
